side,entry_time,exit_time,duration_hours,entry_price,exit_price,price_move_pct,net_pnl,return_on_equity,r_multiple,exit_category,exit_reason,result,year,entry_hour
long,2023-04-25T22:00:00+00:00,2023-04-26T15:00:00+00:00,17.0,28268.542578,29694.279956000002,5.043547519530002,139.40570470090339,0.059383338426103306,1.9794446142034436,correction_exit,correction depth 2.51 ATR >= 2.5,win,2023,22
short,2023-05-01T21:00:00+00:00,2023-05-01T23:00:00+00:00,2.0,27672.554382000002,28025.604,-1.275811452482476,-48.90266069451253,-0.019663617320218506,-0.6554539106739502,correction_exit,two opposing-body correction bars with depth 2.22 ATR,loss,2023,21
long,2023-05-28T23:00:00+00:00,2023-05-29T03:00:00+00:00,4.0,28096.008078,28090.390798,-0.019993160538692573,-3.479823510458781,-0.001427292626319825,-0.0475764208773275,correction_exit,two opposing-body correction bars with depth 2.04 ATR,loss,2023,23
short,2023-05-31T06:00:00+00:00,2023-05-31T08:00:00+00:00,2.0,27082.742368,27173.343581999998,-0.3345348590216979,-12.932736365236261,-0.005312103605857916,-0.17707012019526389,correction_exit,two opposing-body correction bars with depth 1.51 ATR,loss,2023,6
long,2023-06-06T16:00:00+00:00,2023-06-07T02:00:00+00:00,10.0,26071.333223999998,27080.402836,3.870418145977678,190.51331999392613,0.07867099160492068,2.6223663868306892,correction_exit,two opposing-body correction bars with depth 2.01 ATR,win,2023,16
long,2023-06-08T16:00:00+00:00,2023-06-08T18:00:00+00:00,2.0,26727.034337999998,26479.703,-0.9253976137874199,-51.014861464336555,-0.019529763808149733,-0.6509921269383244,correction_exit,two opposing-body correction bars with depth 2.16 ATR,loss,2023,16
short,2023-06-10T06:00:00+00:00,2023-06-10T08:00:00+00:00,2.0,25512.956388000002,25656.210216,-0.5614944258963906,-14.393579288894106,-0.005619978697762334,-0.18733262325874447,correction_exit,two opposing-body correction bars with depth 1.90 ATR,loss,2023,6
long,2023-06-16T17:00:00+00:00,2023-06-17T08:00:00+00:00,15.0,25964.961954,26588.261284000004,2.40054012443482,103.44949112916684,0.0406201790636775,1.35400596878925,correction_exit,two opposing-body correction bars with depth 1.81 ATR,win,2023,17
long,2023-06-20T18:00:00+00:00,2023-06-21T18:00:00+00:00,24.0,27801.5592,30074.213954,8.174558619719427,210.22493913914897,0.07932415729784385,2.6441385765947953,correction_exit,correction depth 5.09 ATR >= 2.5,win,2023,18
short,2023-07-05T12:00:00+00:00,2023-07-06T07:00:00+00:00,19.0,30398.229138000002,30746.415374892855,-1.1454161862922276,-93.49138051055178,-0.03268442934902606,-1.0894809783008688,risk_stop,risk_stop,loss,2023,12
